date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:16	832/832	---M-Z	200	added ('OK')	text/css	etag:%22340-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/action-links.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/action-linksf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:17	491/491	---M-Z	200	added ('OK')	text/css	etag:%221eb-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/breadcrumb.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/breadcrumbf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:18	204/204	---M-Z	200	added ('OK')	text/css	etag:%22cc-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/button.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/buttonf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:19	823/823	---M-Z	200	added ('OK')	text/css	etag:%22337-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/collapse-processed.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/collapse-processedf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:20	477/477	---M-Z	200	added ('OK')	text/css	etag:%221dd-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/container-inline.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/container-inlinef993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:21	493/493	---M-Z	200	added ('OK')	text/css	etag:%221ed-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/details.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/detailsf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:22	905/905	---M-Z	200	added ('OK')	text/css	etag:%22389-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/exposed-filters.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/exposed-filtersf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:23	526/526	---M-Z	200	added ('OK')	text/css	etag:%2220e-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/field.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/fieldf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:24	2168/2168	---M-Z	200	added ('OK')	text/css	etag:%22878-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/form.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/formf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:25	417/417	---M-Z	200	added ('OK')	text/css	etag:%221a1-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/icons.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/iconsf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:26	741/741	---M-Z	200	added ('OK')	text/css	etag:%222e5-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/inline-form.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/inline-formf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:27	546/546	---M-Z	200	added ('OK')	text/css	etag:%22222-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/item-list.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/item-listf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:28	217/217	---M-Z	200	added ('OK')	text/css	etag:%22d9-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/link.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/linkf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:29	343/343	---M-Z	200	added ('OK')	text/css	etag:%22157-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/links.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/linksf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:30	666/666	---M-Z	200	added ('OK')	text/css	etag:%2229a-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/menu.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/menuf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:31	171/171	---M-Z	200	added ('OK')	text/css	etag:%22ab-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/more-link.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/more-linkf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:32	203/203	---M-Z	200	added ('OK')	text/css	etag:%22cb-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/pager.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/pagerf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:33	202/202	---M-Z	200	added ('OK')	text/css	etag:%22ca-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/tabledrag.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/tabledragf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:34	302/302	---M-Z	200	added ('OK')	text/css	etag:%2212e-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/tableselect.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/tableselectf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:35	126/126	---M-Z	200	added ('OK')	text/css	etag:%227e-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/tablesort.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/tablesortf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:36	470/470	---M-Z	200	added ('OK')	text/css	etag:%221d6-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/tabs.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/tabsf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:37	169/169	---M-Z	200	added ('OK')	text/css	etag:%22a9-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/textarea.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/textareaf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:38	208/208	---M-Z	200	added ('OK')	text/css	etag:%22d0-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/ui-dialog.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/ui-dialogf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:39	1893/1893	---M-Z	200	added ('OK')	text/css	etag:%22765-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/messages.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/messagesf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:40	98/98	---M-Z	200	added ('OK')	text/css	etag:%2262-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/node.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/classy/components/nodef993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:41	137/137	---M-Z	200	added ('OK')	text/css	etag:%2289-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/block.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/blockf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:42	241/241	---M-Z	200	added ('OK')	text/css	etag:%22f1-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/book.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/bookf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:43	204/204	---M-Z	200	added ('OK')	text/css	etag:%22cc-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/breadcrumb.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/breadcrumbf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:44	674/674	---M-Z	200	added ('OK')	text/css	etag:%222a2-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/captions.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/captionsf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:45	3341/3341	---M-Z	200	added ('OK')	text/css	etag:%22d0d-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/comments.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/commentsf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:46	105/105	---M-Z	200	added ('OK')	text/css	etag:%2269-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/container-inline.module.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/container-inline.modulef993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:47	126/126	---M-Z	200	added ('OK')	text/css	etag:%227e-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/contextual.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/contextualf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:48	339/339	---M-Z	200	added ('OK')	text/css	etag:%22153-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/demo-block.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/demo-blockf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
